mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mel_spec_mean,mel_spec_std,mel_spec_max,mel_spec_min,spectral_contrast_mean,spectral_contrast_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,zcr_mean,zcr_std,energy,energy_normalized,rms_energy,chroma_mean,chroma_std,onset_mean,onset_std,onset_max,label,filename
-311.10474,157.96259,61.084217,47.8427,-16.160168,30.942907,31.099897,38.807636,-3.650568,20.542763,-13.855838,18.622345,-11.348832,16.356451,-25.401035,16.653755,-15.144298,14.302562,-13.732362,11.12652,-19.528147,13.004376,-7.6727724,10.195901,-17.125975,13.320951,-51.280285,18.342981,0.0,-80.0,22.27735824230171,7.201249064756031,1752.0711101225904,976.4845292075009,3333.474445812808,1735.6188940687503,0.13971578663793102,0.10336142254520318,195.61359,0.0018866869,0.04343601,0.33974183,0.32447115,1.7819076,1.9928869,15.607102,1,phishing_7_time_stretch_slow.wav
-336.52078,203.39508,63.303223,53.506878,-19.790857,36.359085,15.670543,31.471596,-6.302532,17.168398,-5.2935176,14.531258,-11.205482,17.00675,-17.650587,17.402224,-9.098,11.727538,-9.164965,13.758828,-14.604762,10.908843,-4.878762,10.290178,-14.859984,13.906405,-50.46466,21.175016,0.0,-80.0,20.27156320775441,7.470768831147092,1831.2941271160576,1051.1723177438203,3418.3479975728155,1952.8811296902659,0.1542897641080097,0.10276242267313429,167.02423,0.0015842794,0.039803006,0.38302335,0.32329598,1.7247115,2.120133,14.290255,1,phishing_21_time_stretch_fast.wav
-315.74606,176.08308,63.161648,57.942287,-23.776468,37.870495,16.218924,30.990164,-3.5620165,19.50938,-6.5386505,18.104502,-12.697819,14.957001,-21.665743,19.46193,-12.180197,13.266486,-11.703985,17.370617,-17.677513,14.077633,-5.5243363,9.968315,-16.573364,15.325678,-49.8903,19.593235,0.0,-80.0,21.87643782158633,7.3268584072907466,1849.0598258812079,1164.1703834873272,3293.7748015873017,1902.9367896528113,0.1600554935515873,0.13032336262667998,181.10028,0.0018780881,0.043336913,0.34289062,0.31412295,1.8114821,2.1158674,15.373436,1,phishing_20_time_stretch_slow.wav
-300.37408,155.2099,66.359886,53.989017,-13.137413,31.27282,19.674765,34.953163,-7.4272203,21.084318,-2.930154,15.752289,-8.682984,14.735811,-23.375668,16.101866,-12.306018,12.118344,-12.584324,12.321475,-16.652304,12.065126,-3.2124624,10.033112,-16.504631,12.995856,-50.667362,18.00577,0.0,-80.0,22.082086237580853,7.099915488407391,1797.8542437897206,1032.9295347455784,3400.31067251462,1828.9997939760772,0.14419430738304093,0.1103791442594221,162.43419,0.0018612193,0.04314185,0.3397629,0.32268283,1.7366415,1.6735407,13.047029,1,phishing_6_time_stretch_fast.wav
-314.9705,195.33133,64.25578,55.99381,-25.356829,37.542652,14.593297,35.871593,-7.8199005,20.41112,-5.4703283,15.810514,-9.272303,13.961101,-19.468544,18.537298,-9.609575,12.632522,-7.189597,14.189783,-14.843219,12.3854065,-2.3106318,10.027091,-16.572035,14.95677,-52.319576,21.00471,0.0,-80.0,20.94814021885887,7.8764912960747235,1668.8006366032166,1152.6315358868715,3050.914797008547,2026.8591616422716,0.12808410122863248,0.11569090541727914,540.6946,0.004527482,0.067286566,0.33659562,0.32229963,2.4220018,3.2648005,26.68223,1,phishing_18_original.wav
-365.24542,206.8827,56.830017,53.58801,-14.258357,38.66176,16.860468,33.736828,-4.359209,18.926102,-5.5177855,15.089851,-9.585222,13.922894,-18.00399,19.135025,-13.211916,13.461378,-8.045746,12.781231,-13.332481,10.911914,-7.120087,12.040382,-14.1538515,13.181663,-51.865463,21.373652,0.0,-80.0,20.957680961128997,7.197902944111686,1878.7074260670745,1180.7038027629244,3471.7228982300885,2097.766633167965,0.1569737797289823,0.12506382261987414,179.11081,0.0015490262,0.03935767,0.35867703,0.33060607,1.5517915,2.0370128,13.307854,1,phishing_36_time_stretch_slow.wav
-359.4423,198.21779,43.53488,50.68416,-15.202701,37.0574,20.849026,32.66822,-9.649334,15.676715,-10.062546,16.981089,-19.394033,18.808083,-17.647945,19.267433,-12.011963,13.469283,-16.765532,15.668898,-11.041122,10.969458,-6.637793,9.804173,-10.116993,10.9479065,-52.844917,20.526354,0.0,-80.0,20.9183077458649,7.2834012735149924,2150.6939742926816,1238.5655495974015,3868.572443181818,2021.7713507024382,0.1931218927556818,0.1464005255367559,151.48041,0.0013509477,0.03675524,0.36667144,0.3289182,1.7873918,2.300636,13.223911,1,phishing_33_pitch_up.wav
-353.91415,193.74077,54.72697,53.958263,-19.864769,30.26879,13.860211,24.135946,0.08742583,12.817502,-5.9326434,14.143809,-13.596838,14.006665,-21.046028,21.516554,-8.858366,11.8807535,-10.485545,13.274819,-13.933934,12.02328,-5.512898,9.563835,-12.376009,14.364068,-55.25711,20.101603,0.0,-80.0,20.563011970021055,7.167491256380857,1910.195952189769,1234.385804018361,3498.2223053892217,2114.2700529015697,0.17026396425898205,0.14242989853876065,174.63428,0.0020502035,0.04527917,0.37212592,0.3356911,1.6262952,2.1447458,12.524602,1,phishing_37_time_stretch_fast.wav
-359.7001,204.31412,57.964993,50.609974,-18.40926,31.462038,11.347641,27.686281,-12.531709,19.96459,-3.8464859,16.723913,-15.138337,18.344233,-24.07786,19.491484,-10.034719,15.595772,-17.61141,17.496294,-12.476658,12.119523,-11.236878,11.295566,-11.793847,10.690224,-52.720074,21.20526,0.0,-80.0,21.053287438423297,7.4436829717328195,1802.7684304679997,1080.2574463274464,3515.3077411167515,1941.0712819886708,0.1433762293781726,0.11554224135493953,179.97415,0.0017888474,0.042294767,0.3545318,0.33320346,1.7015696,2.432196,20.60758,1,phishing_34_pitch_up.wav
-342.62665,215.27777,58.188267,50.112656,-19.570745,40.57612,14.93636,32.44788,-12.566176,15.690245,-7.470929,16.651073,-17.564157,17.960558,-15.809039,16.969898,-7.4328475,14.279154,-14.786364,13.657245,-9.48064,10.594422,-9.601254,10.370693,-9.910804,10.21676,-48.671703,22.075346,0.0,-80.0,20.50782520065248,7.6589141889173975,1917.5270239962606,1076.3010267631162,3558.5077092511015,1975.5400661879144,0.16615974325440527,0.11168873862165232,198.90509,0.0017151574,0.04141446,0.38066185,0.32600728,1.76187,2.2339697,14.755689,1,phishing_21_pitch_up.wav
